slug,run_id,n_epochs,runtime_total_s,per_epoch_s_median,sat@0.05_train/recon_loss,sat@0.05_train/latent_pred_loss,sat@0.05_train/loop_closure_loss,sat@0.05_train/trajectory_loss,sat@0.05_train/total_loss,sat@0.05_trajectory val_loss,sat@0.05_mean val loss,best_traj_val,best_traj_val_epoch,best_traj_val_runtime_s,walltime_past_best_s,walltime_past_best_frac,first_traj_val_within_0.05_epoch
lorenz_current_obsnoise001,0rqqb61r,119,10610.873231316,89.02276355250018,36,49,0,66,36,100,100,0.0005766486283391714,100,9092.360327709,1518.5129036069993,0.14310913630797073,100
lorenz_current_obsnoise001,c62ykpp4,103,10556.286329558,102.67955426999993,36,66,0,66,36,100,100,0.0005810314905829728,100,10453.823567119,102.46276243899956,0.009706326566010243,100
lorenz_current_obsnoise001,yqgr0b7r,105,10627.419766552,101.16249756099978,36,49,1,49,36,100,100,0.0005822500679641962,102,10525.312985705,102.10678084699975,0.009607861841343985,100
lorenz_current_obsnoise001,3lialebo,104,10605.976930441,102.3338257370001,36,66,1,49,36,100,100,0.0006292749312706292,102,10605.591018707,0.38591173399981926,3.6386250557662956e-05,100
lorenz_current_obsnoise001,guygpvp6,108,10639.115951152,98.43612920300075,36,66,1,35,36,100,100,0.0007988655706867576,100,10045.308375893,593.8075752589993,0.05581362003999045,100
lorenz_current_obsnoise001,u55o28gm,103,10598.996115906,102.96300005749981,36,66,1,66,36,100,100,0.0011707613011822104,100,10496.829964304,102.16615160199945,0.009639229082146551,100
lorenz_current_obsnoise001,icx55lk3,105,10559.460573376,100.43136569499939,36,37,10,41,36,104,104,0.0027858703397214413,104,10559.460573376,0.0,0.0,104
lorenz_current_obsnoise001,vn3ovm35,119,10638.663826645,89.54550468050002,96,46,0,35,103,116,116,0.0005895926733501256,116,10550.380778294,88.28304835100062,0.008298321085199801,116
lorenz_current_obsnoise001,7npe9leu,103,10634.051908556,101.31355135549984,96,46,0,30,80,100,100,0.0006657392368651927,100,10532.335804057,101.71610449900072,0.009565131463874221,100
lorenz_current_obsnoise001,hf46bvnl,104,10596.097790789,101.80274369900053,96,46,46,30,64,100,100,0.000660823832731694,100,10392.200204575,203.8975862139996,0.019242705214672914,100
lorenz_current_obsnoise001,8b68lv5p,116,10643.237613015,91.58107067100013,96,30,96,30,64,111,111,0.0005836131167598069,111,10366.422095822,276.81551719300114,0.026008581905049215,111
lorenz_current_obsnoise001,1wha1qoq,103,10557.437478396,102.49689343850014,96,36,1,30,96,100,100,0.000690071377903223,100,10455.210603119,102.22687527699964,0.009682924998247876,100
lorenz_current_obsnoise001,8htjvaxn,104,10615.947712825,102.02662316999977,96,64,1,33,91,100,100,0.0011348839616402984,100,10412.794604364,203.15310846099965,0.01913659655798538,100
lorenz_current_obsnoise001,5nrsizlf,117,10606.464854457,90.46776654799987,96,65,13,102,65,111,111,0.0016861670883372426,111,10238.55051613,367.9143383269984,0.03468774406699657,111
lorenz_current_obsnoise001,95se126i,104,10582.933914145,101.86571260100027,88,88,0,32,88,101,101,0.0007837111479602754,101,10481.468533729,101.4653804160007,0.009587641880706021,101
lorenz_current_obsnoise001,60f6y5mi,103,10563.48560313,101.84122498399964,88,88,56,34,88,101,101,0.00079434021608904,101,10563.13339334,0.3522097900004155,3.334219435070318e-05,101
lorenz_current_obsnoise001,e0qb7y8q,105,10602.027537201,100.6179573505002,88,88,56,32,88,101,101,0.0008281354676000774,101,10397.677158968,204.3503782330008,0.019274650769955513,101
lorenz_current_obsnoise001,n8muccby,105,10589.872555681,101.89405449000003,88,77,52,32,88,101,101,0.0008840002701617777,101,10385.507339702,204.3652159789999,0.019298175205079968,101
lorenz_current_obsnoise001,s7sm2d9v,107,10596.105256626,98.9983164329999,105,56,19,59,56,101,101,0.0012828323524445295,101,10201.039725024,395.0655316020002,0.03728403239057636,101
lorenz_current_obsnoise001,c5mfpwp7,114,10577.914811041,92.95179509599984,105,36,19,19,36,105,105,0.002213618252426386,107,10112.573692314,465.34111872700123,0.04399176274716149,105
lorenz_current_obsnoise001,jyfqwrmp,106,10588.212316389,99.84711406799988,88,56,36,34,56,101,101,0.0008555331151001155,101,10288.256081458,299.9562349309999,0.02832926144356887,101
