epoch,n_runs_with_data,spearman_to_final,top3_overlap
0,21,0.34285714285714286,0
1,21,-0.015584415584415586,0
2,21,-0.10519480519480517,0
3,21,0.13636363636363635,1
4,21,0.1064935064935065,1
5,21,0.20519480519480518,2
6,21,0.24545454545454545,2
7,21,0.2350649350649351,2
8,21,0.24935064935064938,3
9,21,0.2532467532467532,3
10,21,0.46753246753246747,3
11,21,0.548051948051948,3
12,21,0.6,3
13,21,0.7038961038961039,3
14,21,0.851948051948052,3
15,21,0.9012987012987014,3
16,21,0.9077922077922078,3
17,21,0.9155844155844156,2
18,21,0.9103896103896105,2
19,21,0.9181818181818181,2
20,21,0.9428571428571428,2
21,21,0.9051948051948051,2
22,21,0.9246753246753248,2
23,21,0.9415584415584415,2
24,21,0.9441558441558441,2
25,21,0.9363636363636364,2
26,21,0.9376623376623376,2
27,21,0.92987012987013,2
28,21,0.9246753246753248,2
29,21,0.9363636363636364,2
30,21,0.9480519480519479,2
31,21,0.9480519480519479,2
32,21,0.9194805194805193,2
33,21,0.9350649350649349,2
34,21,0.9402597402597404,2
35,21,0.9324675324675323,2
36,21,0.9480519480519479,3
37,21,0.9428571428571428,3
38,21,0.9454545454545454,3
39,21,0.9454545454545454,3
40,21,0.9415584415584415,3
41,21,0.9350649350649349,3
42,21,0.8805194805194804,3
43,21,0.8740259740259739,3
44,21,0.9428571428571428,3
45,21,0.9441558441558441,3
46,21,0.9376623376623376,3
47,21,0.9324675324675323,3
48,21,0.9324675324675323,3
49,21,0.9324675324675323,3
50,21,0.9324675324675323,3
51,21,0.9532467532467532,3
52,21,0.9532467532467532,3
53,21,0.9545454545454546,3
54,21,0.835064935064935,3
55,21,0.8844155844155844,3
56,21,0.8844155844155844,3
57,21,0.877922077922078,2
58,21,0.877922077922078,2
59,21,0.877922077922078,2
60,21,0.8974025974025974,1
61,21,0.8948051948051948,1
62,21,0.896103896103896,1
63,21,0.9545454545454546,3
64,21,0.9545454545454546,3
65,21,0.9545454545454546,3
66,21,0.9636363636363635,3
67,21,0.9649350649350649,3
68,21,0.9415584415584415,3
69,21,0.9415584415584415,3
70,21,0.9311688311688312,2
71,21,0.9324675324675323,2
72,21,0.9324675324675323,2
73,21,0.8311688311688311,2
74,21,0.8311688311688311,2
75,21,0.8116883116883117,2
76,21,0.8506493506493505,2
77,21,0.8506493506493505,2
78,21,0.8506493506493505,2
79,21,0.8896103896103895,2
80,21,0.8896103896103895,2
81,21,0.8896103896103895,2
82,21,0.8896103896103895,2
83,21,0.9064935064935065,1
84,21,0.9064935064935065,1
85,21,0.9064935064935065,1
86,21,0.9064935064935065,1
87,21,0.9064935064935065,1
88,21,0.896103896103896,2
89,21,0.9207792207792208,1
90,21,0.9207792207792208,1
91,21,0.9207792207792208,1
92,21,0.9207792207792208,1
93,21,0.9207792207792208,1
94,21,0.9207792207792208,1
95,21,0.9207792207792208,1
96,21,0.9181818181818181,1
97,21,0.9181818181818181,1
98,21,0.9233766233766234,1
99,21,0.9233766233766234,1
100,21,0.9857142857142858,3
101,21,0.996103896103896,3
102,21,0.996103896103896,3
103,16,0.9911764705882352,2
104,12,1.0,2
105,8,1.0,1
106,7,1.0,1
107,6,1.0,1
108,5,0.9999999999999999,1
109,5,0.9999999999999999,1
110,5,0.9999999999999999,1
111,5,0.9999999999999999,1
112,5,0.9999999999999999,1
113,5,0.9999999999999999,1
