K,n_runs,n_finished_at_K,top1_in_top33pct@K,top3_in_top33pct@K,top1_in_top50pct@K,top3_in_top50pct@K,top1_in_top67pct@K,top3_in_top67pct@K,spearman,project,group,n_runs_total
5,40,38,1,1,1,2,1,3,-0.01106941838649156,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_initsteps_autodim,42
10,40,39,1,2,1,3,1,3,0.04934333958724203,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_initsteps_autodim,42
15,40,39,1,2,1,3,1,3,0.12082551594746718,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_initsteps_autodim,42
20,40,40,1,2,1,2,1,3,0.19437148217636024,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_initsteps_autodim,42
30,40,40,1,1,1,1,1,2,0.3307692307692308,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_initsteps_autodim,42
50,40,39,1,3,1,3,1,3,0.7469043151969983,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_initsteps_autodim,42
5,40,37,0,1,0,2,1,3,-0.00150093808630394,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_initsteps_autodim,40
10,40,31,0,0,0,0,0,2,0.1936210131332083,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_initsteps_autodim,40
15,40,36,0,0,0,1,0,2,0.25628517823639774,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_initsteps_autodim,40
20,40,35,0,0,0,1,1,3,0.22795497185741093,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_initsteps_autodim,40
30,40,36,0,1,1,2,1,3,0.6450281425891183,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_initsteps_autodim,40
50,40,37,1,2,1,2,1,2,0.7384615384615386,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise005__ndelays_initsteps_autodim,40
5,26,26,1,3,1,3,1,3,0.6847863247863248,Lorenz_INDpartial_NDInitSweep_autodim_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001_top3nd_init15_autodim__lc_sweep,28
